id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0000,5.0,850.0,30.0,50.0,False,False,low,0.048069115636363624,14.81,0.045,1.0,240.0,0.30918181818181817,0.8608653312326506,0.82,0.03941667482181817,234.6,16.9016,0.06075,-1.4798364818742893,False
candidate_0001,5.0,850.0,30.0,50.0,False,False,nominal,0.052758785454545445,14.94,0.045,1.2,240.0,0.30918181818181817,0.8611111111111112,0.82,0.04326220407272726,234.6,17.0316,0.06075,-1.508575116444444,False
candidate_0002,5.0,850.0,30.0,50.0,False,False,high,0.05568982909090908,15.11,0.045,1.45,240.0,0.30918181818181817,0.861426134274579,0.8199999999999998,0.04566565985454544,234.6,17.2016,0.06075,-1.5522857880155891,False
candidate_0003,5.0,850.0,30.0,50.0,False,True,low,0.048069115636363624,14.39,0.045,1.5,240.0,0.30918181818181817,0.8600409234808124,0.82,0.03941667482181817,234.6,16.481599999999997,0.06075,-1.4453906527268625,False
candidate_0004,5.0,850.0,30.0,50.0,False,True,nominal,0.052758785454545445,14.52,0.045,1.7,240.0,0.30918181818181817,0.8603011937557392,0.82,0.04326220407272726,234.6,16.6116,0.06075,-1.474109000741965,False
candidate_0005,5.0,850.0,30.0,50.0,False,True,high,0.05568982909090908,14.69,0.045,1.95,240.0,0.30918181818181817,0.8606345964753044,0.8199999999999998,0.04566565985454544,234.6,16.781599999999997,0.06075,-1.5177939409345733,False
candidate_0006,5.0,850.0,30.0,50.0,True,False,low,0.048069115636363624,14.51,0.012,1.7,240.0,0.30918181818181817,0.8865702274293591,0.82,0.03941667482181817,234.6,16.601599999999998,0.016200000000000003,-1.4128496271988973,True
candidate_0007,5.0,850.0,30.0,50.0,True,False,nominal,0.052758785454545445,14.639999999999999,0.012,1.9,240.0,0.30918181818181817,0.8868262295081968,0.82,0.04326220407272726,234.6,16.7316,0.016200000000000003,-1.4415739506885243,True
candidate_0008,5.0,850.0,30.0,50.0,True,False,high,0.05568982909090908,14.809999999999999,0.012,2.15,240.0,0.30918181818181817,0.8871542201215394,0.8199999999999998,0.04566565985454544,234.6,16.9016,0.016200000000000003,-1.4852664678298442,True
candidate_0009,5.0,850.0,30.0,50.0,True,True,low,0.048069115636363624,14.09,0.012,2.2,240.0,0.30918181818181817,0.8857108587650817,0.82,0.03941667482181817,234.6,16.181599999999996,0.016200000000000003,-1.3784527433288858,True
candidate_0010,5.0,850.0,30.0,50.0,True,True,nominal,0.052758785454545445,14.219999999999999,0.012,2.4000000000000004,240.0,0.30918181818181817,0.8859822784810127,0.82,0.04326220407272726,234.6,16.3116,0.016200000000000003,-1.407155482126582,True
candidate_0011,5.0,850.0,30.0,50.0,True,True,high,0.05568982909090908,14.389999999999999,0.012,2.6500000000000004,240.0,0.30918181818181817,0.8863298123697012,0.8199999999999998,0.04566565985454544,234.6,16.481599999999997,0.016200000000000003,-1.450820638682418,True
